rank,parameter,S1,S1_conf,ST,ST_conf
1,T_in,0.7370687666330966,0.0707279145942378,0.7603005310851466,0.0614592613314078
2,T_out_max,0.13385510587837618,0.035215648941169256,0.1520771188913906,0.01771749377556689
3,L,0.030996525496158653,0.01924366957916132,0.04899596192815949,0.008970469511574706
4,k_dry,0.011125292458703508,0.01681976877505048,0.03357899293624118,0.005828987122017203
5,G_s_peak,0.025880792918209838,0.01444282763379725,0.029755291301475317,0.004465838573973788
6,cp,0.009485873443356758,0.008129771441432126,0.011403202650723917,0.0019541084461574924
7,rho,0.006510530847871127,0.008304523884773396,0.008795419393941854,0.0015452985297742903
8,w0,5.501196477026453e-05,0.002231938939766409,0.0006316154290927869,0.00013204268370751258
9,alpha_moist,-0.0034920005988094095,0.0018373883722755668,0.0004352999655145937,6.686908574166916e-05
