N,steps_per_day,Linf_TL_K,err_Jpeak_K
16,1000,0.009881107074534157,0.0036563444859893934
32,2000,0.002447773442838752,0.0009155627519703557
64,4000,0.0005831839739016687,0.00021879032465221826
128,8000,0.00011664676094369497,4.379432732548594e-05
