N_train,model,rel_L2_T,MAE_J_K
150,FNO,0.001525695424643345,0.4683447265625
150,PINO,0.001319911591320609,0.38026774088541665
300,FNO,0.0009208041022066027,0.38790690104166664
300,PINO,0.0008951133425580338,0.28142354329427083
600,FNO,0.000659328971717817,0.22891520182291666
600,PINO,0.0007094833200486998,0.23325358072916666
1200,FNO,0.0005804263012638936,0.20912394205729168
1200,PINO,0.0005281276602181606,0.2057000732421875
