-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 05/01/2024 through 06/30/2024 in LST
Location: latitude  27.7033   longitude 68.8589 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_RANGE
2024,5,1,324.32,19.63
2024,5,2,287.56,19.38
2024,5,3,196.6,13.8
2024,5,4,289.45,16.2
2024,5,5,292.16,16.54
2024,5,6,300.98,17.62
2024,5,7,319.81,18.41
2024,5,8,319.59,19.15
2024,5,9,296.47,17.54
2024,5,10,294.93,17.79
2024,5,11,287.37,14.58
2024,5,12,318.24,17.12
2024,5,13,304.57,18.81
2024,5,14,300.88,16.41
2024,5,15,296.91,15.9
2024,5,16,300.06,16.49
2024,5,17,311.6,17.6
2024,5,18,305.4,17.08
2024,5,19,300.65,15.88
2024,5,20,308.77,18.07
2024,5,21,300.18,19.15
2024,5,22,312.38,20.3
2024,5,23,311.31,18.96
2024,5,24,313.06,16.14
2024,5,25,293.78,17.95
2024,5,26,301.15,19.19
2024,5,27,325.58,20.63
2024,5,28,346.38,19.57
2024,5,29,352.88,20.63
2024,5,30,341.05,20.18
2024,5,31,323.93,19.86
2024,6,1,298.5,17.53
2024,6,2,293.74,15.76
2024,6,3,310.1,17.05
2024,6,4,302.11,16.79
2024,6,5,273.92,17.27
2024,6,6,239.28,14.78
2024,6,7,245.56,12.87
2024,6,8,260.97,12.74
2024,6,9,285.48,13.7
2024,6,10,302.29,14.79
2024,6,11,297.16,16.56
2024,6,12,300.04,16.09
2024,6,13,312.42,16.21
2024,6,14,314.08,15.12
2024,6,15,299.61,14.14
2024,6,16,277.65,14.24
2024,6,17,290.74,14.72
2024,6,18,296.83,16.04
2024,6,19,266.42,18.25
2024,6,20,246.93,17.0
2024,6,21,223.39,8.61
2024,6,22,255.01,12.35
2024,6,23,289.03,12.75
2024,6,24,299.28,13.69
2024,6,25,297.73,15.23
2024,6,26,255.34,14.57
2024,6,27,224.7,12.35
2024,6,28,220.74,7.14
2024,6,29,257.75,9.99
2024,6,30,269.67,12.98
