-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 05/01/2026 through 06/30/2026 in LST
Location: latitude  27.7033   longitude 68.8589 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_RANGE
2026,5,1,284.65,20.21
2026,5,2,290.85,19.09
2026,5,3,296.02,16.98
2026,5,4,293.97,19.38
2026,5,5,290.31,15.79
2026,5,6,293.62,16.6
2026,5,7,299.53,20.88
2026,5,8,294.93,19.05
2026,5,9,295.45,19.97
2026,5,10,292.97,20.43
2026,5,11,283.05,17.73
2026,5,12,289.1,17.26
2026,5,13,250.28,16.23
2026,5,14,288.76,17.38
2026,5,15,294.51,15.89
2026,5,16,289.72,15.31
2026,5,17,292.89,17.15
2026,5,18,307.69,19.82
2026,5,19,296.25,19.85
2026,5,20,-999.0,18.38
2026,5,21,297.6,19.0
2026,5,22,287.22,15.28
2026,5,23,297.51,17.45
2026,5,24,295.2,19.65
2026,5,25,313.02,19.78
2026,5,26,304.45,23.28
2026,5,27,298.93,21.5
2026,5,28,304.69,20.56
2026,5,29,312.12,18.59
2026,5,30,308.55,21.09
2026,5,31,290.75,13.94
2026,6,1,276.84,11.72
2026,6,2,274.28,10.82
2026,6,3,280.3,12.25
2026,6,4,290.68,14.98
2026,6,5,284.47,14.78
2026,6,6,284.11,14.59
2026,6,7,285.56,16.26
2026,6,8,293.5,15.25
2026,6,9,292.49,18.97
2026,6,10,290.42,18.06
2026,6,11,298.48,17.39
2026,6,12,301.61,17.69
2026,6,13,282.89,14.76
2026,6,14,283.75,13.33
2026,6,15,282.32,14.85
2026,6,16,277.5,13.58
2026,6,17,274.87,11.73
2026,6,18,276.19,12.16
2026,6,19,278.19,11.98
2026,6,20,276.01,12.62
2026,6,21,278.39,12.84
2026,6,22,276.87,13.9
2026,6,23,276.58,13.41
2026,6,24,278.19,13.24
2026,6,25,276.59,12.34
2026,6,26,275.52,12.14
2026,6,27,275.83,12.44
2026,6,28,277.34,13.97
2026,6,29,279.09,15.13
2026,6,30,279.1,15.46
