-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2025 through 06/30/2025 in LST
Location: Latitude  27.7033   Longitude 68.8589 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,5,9,2,0.0
2025,5,9,3,0.0
2025,5,9,4,0.0
2025,5,9,5,0.0
2025,5,9,6,68.38
2025,5,9,7,178.85
2025,5,9,8,367.58
2025,5,9,9,561.78
2025,5,9,10,678.1
2025,5,9,11,784.35
2025,5,9,12,849.53
2025,5,9,13,822.92
2025,5,9,14,754.9
2025,5,9,15,591.75
2025,5,9,16,391.88
2025,5,9,17,184.9
2025,5,9,18,40.8
2025,5,9,19,0.0
2025,5,9,20,0.0
2025,5,9,21,0.0
2025,5,9,22,0.0
2025,5,9,23,0.0
2025,5,10,0,0.0
2025,5,10,1,0.0
2025,5,10,2,0.0
2025,5,10,3,0.0
2025,5,10,4,0.0
2025,5,10,5,0.0
2025,5,10,6,76.65
2025,5,10,7,209.8
2025,5,10,8,402.45
2025,5,10,9,591.92
2025,5,10,10,802.22
2025,5,10,11,898.8
2025,5,10,12,895.35
2025,5,10,13,882.72
2025,5,10,14,766.92
2025,5,10,15,603.78
2025,5,10,16,399.52
2025,5,10,17,196.23
2025,5,10,18,43.45
2025,5,10,19,0.0
2025,5,10,20,0.0
2025,5,10,21,0.0
2025,5,10,22,0.0
2025,5,10,23,0.0
2025,5,11,0,0.0
2025,5,11,1,0.0
2025,5,11,2,0.0
2025,5,11,3,0.0
2025,5,11,4,0.0
2025,5,11,5,0.0
2025,5,11,6,79.95
2025,5,11,7,227.05
2025,5,11,8,428.12
2025,5,11,9,633.25
2025,5,11,10,801.25
2025,5,11,11,906.4
2025,5,11,12,966.05
2025,5,11,13,932.97
2025,5,11,14,813.03
2025,5,11,15,643.85
2025,5,11,16,436.5
2025,5,11,17,220.05
2025,5,11,18,48.85
2025,5,11,19,0.0
2025,5,11,20,0.0
2025,5,11,21,0.0
2025,5,11,22,0.0
2025,5,11,23,0.0
2025,5,12,0,0.0
2025,5,12,1,0.0
2025,5,12,2,0.0
2025,5,12,3,0.0
2025,5,12,4,0.0
2025,5,12,5,0.0
2025,5,12,6,92.82
2025,5,12,7,276.15
2025,5,12,8,494.67
2025,5,12,9,696.6
2025,5,12,10,855.33
2025,5,12,11,951.3
2025,5,12,12,941.85
2025,5,12,13,892.55
2025,5,12,14,771.42
2025,5,12,15,601.45
2025,5,12,16,396.52
2025,5,12,17,193.48
2025,5,12,18,45.65
2025,5,12,19,0.0
2025,5,12,20,0.0
2025,5,12,21,0.0
2025,5,12,22,0.0
2025,5,12,23,0.0
2025,5,13,0,0.0
2025,5,13,1,0.0
2025,5,13,2,0.0
2025,5,13,3,0.0
2025,5,13,4,0.0
2025,5,13,5,0.0
2025,5,13,6,83.4
2025,5,13,7,239.18
2025,5,13,8,442.02
2025,5,13,9,670.47
2025,5,13,10,831.15
2025,5,13,11,928.8
2025,5,13,12,937.83
2025,5,13,13,861.5
2025,5,13,14,741.78
2025,5,13,15,573.33
2025,5,13,16,379.62
2025,5,13,17,181.52
2025,5,13,18,42.75
2025,5,13,19,0.0
2025,5,13,20,0.0
2025,5,13,21,0.0
2025,5,13,22,0.0
2025,5,13,23,0.0
2025,5,14,0,0.0
2025,5,14,1,0.0
2025,5,14,2,0.0
2025,5,14,3,0.0
2025,5,14,4,0.0
2025,5,14,5,0.0
2025,5,14,6,82.85
2025,5,14,7,248.15
2025,5,14,8,457.83
2025,5,14,9,655.8
2025,5,14,10,812.47
2025,5,14,11,908.12
2025,5,14,12,950.7
2025,5,14,13,913.4
2025,5,14,14,802.78
2025,5,14,15,635.7
2025,5,14,16,429.62
2025,5,14,17,216.4
2025,5,14,18,51.65
2025,5,14,19,0.0
2025,5,14,20,0.0
2025,5,14,21,0.0
2025,5,14,22,0.0
2025,5,14,23,0.0
2025,5,15,0,0.0
2025,5,15,1,0.0
2025,5,15,2,0.0
2025,5,15,3,0.0
2025,5,15,4,0.0
2025,5,15,5,2.9
2025,5,15,6,78.78
2025,5,15,7,241.07
2025,5,15,8,446.25
2025,5,15,9,588.78
2025,5,15,10,758.62
2025,5,15,11,876.35
2025,5,15,12,961.65
2025,5,15,13,948.22
2025,5,15,14,840.65
2025,5,15,15,674.05
2025,5,15,16,465.95
2025,5,15,17,243.82
2025,5,15,18,57.58
2025,5,15,19,0.0
2025,5,15,20,0.0
2025,5,15,21,0.0
2025,5,15,22,0.0
2025,5,15,23,0.0
2025,5,16,0,0.0
2025,5,16,1,0.0
2025,5,16,2,0.0
2025,5,16,3,0.0
2025,5,16,4,0.0
2025,5,16,5,3.28
2025,5,16,6,91.43
2025,5,16,7,282.5
2025,5,16,8,501.88
2025,5,16,9,703.3
2025,5,16,10,860.42
2025,5,16,11,956.45
2025,5,16,12,989.25
2025,5,16,13,924.92
2025,5,16,14,823.53
2025,5,16,15,664.3
2025,5,16,16,460.6
2025,5,16,17,240.05
2025,5,16,18,56.8
2025,5,16,19,0.0
2025,5,16,20,0.0
2025,5,16,21,0.0
2025,5,16,22,0.0
2025,5,16,23,0.0
2025,5,17,0,0.0
2025,5,17,1,0.0
2025,5,17,2,0.0
2025,5,17,3,0.0
2025,5,17,4,0.0
2025,5,17,5,3.42
2025,5,17,6,91.4
2025,5,17,7,282.48
2025,5,17,8,498.58
2025,5,17,9,695.12
2025,5,17,10,848.47
2025,5,17,11,941.05
2025,5,17,12,957.62
2025,5,17,13,911.97
2025,5,17,14,797.12
2025,5,17,15,629.67
2025,5,17,16,426.98
2025,5,17,17,216.38
2025,5,17,18,51.78
2025,5,17,19,0.0
2025,5,17,20,0.0
2025,5,17,21,0.0
2025,5,17,22,0.0
2025,5,17,23,0.0
2025,5,18,0,0.0
2025,5,18,1,0.0
2025,5,18,2,0.0
2025,5,18,3,0.0
2025,5,18,4,0.0
2025,5,18,5,3.5
2025,5,18,6,87.6
2025,5,18,7,271.85
2025,5,18,8,481.33
2025,5,18,9,645.4
2025,5,18,10,778.22
2025,5,18,11,851.28
2025,5,18,12,832.2
2025,5,18,13,779.17
2025,5,18,14,693.58
2025,5,18,15,553.7
2025,5,18,16,372.75
2025,5,18,17,183.62
2025,5,18,18,45.55
2025,5,18,19,0.0
2025,5,18,20,0.0
2025,5,18,21,0.0
2025,5,18,22,0.0
2025,5,18,23,0.0
2025,5,19,0,0.0
2025,5,19,1,0.0
2025,5,19,2,0.0
2025,5,19,3,0.0
2025,5,19,4,0.0
2025,5,19,5,3.55
2025,5,19,6,74.78
2025,5,19,7,196.7
2025,5,19,8,391.73
2025,5,19,9,602.12
2025,5,19,10,811.03
2025,5,19,11,922.33
2025,5,19,12,900.85
2025,5,19,13,792.33
2025,5,19,14,689.75
2025,5,19,15,541.22
2025,5,19,16,357.67
2025,5,19,17,178.2
2025,5,19,18,48.08
2025,5,19,19,0.0
2025,5,19,20,0.0
2025,5,19,21,0.0
2025,5,19,22,0.0
2025,5,19,23,0.0
2025,5,20,0,0.0
2025,5,20,1,0.0
2025,5,20,2,0.0
2025,5,20,3,0.0
2025,5,20,4,0.0
2025,5,20,5,3.6
2025,5,20,6,77.05
2025,5,20,7,215.45
2025,5,20,8,386.95
2025,5,20,9,602.1
2025,5,20,10,770.95
2025,5,20,11,880.78
2025,5,20,12,955.12
2025,5,20,13,917.9
2025,5,20,14,805.08
2025,5,20,15,636.08
2025,5,20,16,430.05
2025,5,20,17,218.38
2025,5,20,18,55.62
2025,5,20,19,0.0
2025,5,20,20,0.0
2025,5,20,21,0.0
2025,5,20,22,0.0
2025,5,20,23,0.0
2025,5,21,0,0.0
2025,5,21,1,0.0
2025,5,21,2,0.0
2025,5,21,3,0.0
2025,5,21,4,0.0
2025,5,21,5,4.03
2025,5,21,6,86.22
2025,5,21,7,255.15
2025,5,21,8,453.77
2025,5,21,9,653.65
2025,5,21,10,813.15
2025,5,21,11,912.33
2025,5,21,12,984.33
2025,5,21,13,918.67
2025,5,21,14,831.33
2025,5,21,15,671.28
2025,5,21,16,460.35
2025,5,21,17,239.02
2025,5,21,18,61.3
2025,5,21,19,0.0
2025,5,21,20,0.0
2025,5,21,21,0.0
2025,5,21,22,0.0
2025,5,21,23,0.0
2025,5,22,0,0.0
2025,5,22,1,0.0
2025,5,22,2,0.0
2025,5,22,3,0.0
2025,5,22,4,0.0
2025,5,22,5,4.07
2025,5,22,6,87.88
2025,5,22,7,261.95
2025,5,22,8,468.27
2025,5,22,9,660.25
2025,5,22,10,812.75
2025,5,22,11,907.88
2025,5,22,12,967.5
2025,5,22,13,925.7
